id,accelerationx,accelerationy,accelerationz,angularvelocityx,angularvelocityy,angularvelocityz,pitch,roll,yaw,mdlcircle_id,hallsensor,timestamp,starttime,mdlsport_id
165547,-209,-14585,8845,2789,-6425,9368,27.9799995422363,46.75,124.73999786376999,13264,-1,1240843,2020-03-27 07:19:21,172
165548,3656,-17370,-15231,1758,-9020,7762,40.0099983215332,19.0699996948242,132.440002441406,13264,1,1240884,2020-03-27 07:19:21,172
165549,2003,-12103,2010,3355,-7954,3593,45.5200004577637,-7.92000007629395,127.58999633789101,13264,1,1240925,2020-03-27 07:19:21,172
165550,538,-9456,335,490,-8484,672,53.58000183105471,-24.8899993896484,114.800003051758,13264,1,1240966,2020-03-27 07:19:21,172
165551,-1031,-7561,4586,-799,-5546,-3737,60.720001220703104,-30.0400009155273,96.3000030517578,13264,2,1241007,2020-03-27 07:19:21,172
165552,-4248,-5934,5193,1768,-3231,-5913,68.55999755859379,-22.3299999237061,80.2699966430664,13264,2,1241048,2020-03-27 07:19:21,172
165553,-8266,-4372,2161,2497,-3532,-3605,77.129997253418,-11.4499998092651,68.4899978637695,13264,2,1241089,2020-03-27 07:19:21,172
165554,-3741,-5919,1179,384,-2367,-6009,81.2399978637695,-1.61000001430511,58.880001068115206,13264,2,1241130,2020-03-27 07:19:21,172
165555,-6122,-3397,176,-1397,-4111,-4778,79.2399978637695,10.890000343322802,48.6800003051758,13264,2,1241171,2020-03-27 07:19:21,172
165556,-3532,1559,752,-1950,-2601,-2177,71.55999755859371,17.5100002288818,38.02000045776371,13264,2,1241212,2020-03-27 07:19:21,172
165557,-1485,334,834,-4517,-1745,-4984,60.7700004577637,24.489999771118196,30.25,13264,-1,1241253,2020-03-27 07:19:21,172
165558,-6535,2125,5180,-4070,-2057,-6580,42.1500015258789,32.490001678466804,14.6999998092651,13264,-1,1241294,2020-03-27 07:19:21,172
165559,-12605,-1040,9357,-4908,-359,-8997,18.0,40.459999084472706,-8.02999973297119,13264,-1,1241335,2020-03-27 07:19:21,172
165560,-10278,-4194,6673,-5955,-647,-4832,-7.69000005722046,43.0200004577637,-29.2999992370605,13264,-1,1241376,2020-03-27 07:19:21,172
165561,-7194,-12210,11047,-12649,-4471,-3884,-37.470001220703104,33.1199989318848,-38.4000015258789,13264,-1,1241417,2020-03-27 07:19:21,172
165562,-14133,-2192,13016,-8451,1676,348,-63.7599983215332,27.1599998474121,-38.22999954223629,13264,-1,1241458,2020-03-27 07:19:21,172
165563,-7385,-5668,9875,-9969,-9442,12844,-75.129997253418,42.5999984741211,-19.7000007629395,13264,-2,1241499,2020-03-27 07:19:21,172
165564,1699,-7179,1607,-5756,-10941,16236,-33.8400001525879,60.3499984741211,53.1599998474121,13264,-2,1241540,2020-03-27 07:19:21,172
165565,8903,-12685,10928,-535,-4807,15027,14.2600002288818,45.810001373290994,123.139999389648,13264,-2,1241581,2020-03-27 07:19:21,172
165566,12930,-10759,5444,5286,-4814,3985,33.4500007629395,27.3700008392334,142.580001831055,13264,-2,1241622,2020-03-27 07:19:21,172
165567,1477,-11013,3543,5913,-5710,-202,42.9900016784668,13.529999732971199,134.75,13264,1,1241663,2020-03-27 07:19:21,172
165568,5424,-8563,3674,4209,-6401,1728,53.6500015258789,6.05999994277954,124.849998474121,13264,1,1241704,2020-03-27 07:19:21,172
165569,-3349,-4898,3241,3294,-5559,-2648,61.689998626709006,4.1399998664856,111.930000305176,13264,1,1241745,2020-03-27 07:19:21,172
165570,-388,-7608,3516,3005,-4969,-6617,67.59999847412111,7.53999996185303,95.5999984741211,13264,1,1241786,2020-03-27 07:19:21,172
