id,accelerationx,accelerationy,accelerationz,angularvelocityx,angularvelocityy,angularvelocityz,pitch,roll,yaw,mdlcircle_id,hallsensor,timestamp,starttime,mdlsport_id
224488,3137,-3360,-431,-516,3606,4766,54.799999237060604,15.9399995803833,-177.99000549316398,17132,-1,6083667,2020-03-27 09:40:51,239
224489,1066,-2530,388,-946,2620,5133,55.689998626709006,10.5799999237061,-165.0,17132,-2,6083708,2020-03-27 09:40:51,239
224490,5669,-434,374,-447,1698,4261,55.369998931884794,3.2300000190734903,-153.910003662109,17132,-2,6083749,2020-03-27 09:40:51,239
224491,793,-704,-3118,-1356,484,3962,54.6100006103516,-2.17000007629395,-147.039993286133,17132,-2,6083790,2020-03-27 09:40:51,239
224492,3332,523,2120,-2830,2343,3617,47.5,-7.90999984741211,-137.889999389648,17132,-2,6083831,2020-03-27 09:40:51,239
224493,1123,-651,-1142,-1733,-1125,4947,41.0999984741211,-13.3500003814697,-129.839996337891,17132,-2,6083872,2020-03-27 09:40:51,239
224494,11760,3119,3359,-4375,-39,5418,30.059999465942397,-24.690000534057603,-119.08000183105499,17132,-2,6083913,2020-03-27 09:40:51,239
224495,6587,3859,7186,-4090,-1045,3181,15.4300003051758,-30.3199996948242,-111.08999633789101,17132,-2,6083954,2020-03-27 09:40:51,239
224496,6695,-2980,4403,-4355,-2076,5168,0.0199999995529652,-36.180000305175795,-99.5199966430664,17132,-2,6083995,2020-03-27 09:40:51,239
224497,8793,-4125,7140,-5165,-1388,4833,-23.1700000762939,-37.209999084472706,-82.9700012207031,17132,-2,6084036,2020-03-27 09:40:51,239
224498,7551,-7482,3586,-5572,-2150,6244,-45.7299995422363,-33.8600006103516,-65.0800018310547,17132,-2,6084077,2020-03-27 09:40:51,239
224499,14438,1338,9154,-5850,1105,1404,-65.6800003051758,-25.260000228881804,-58.4900016784668,17132,-2,6084118,2020-03-27 09:40:51,239
224500,3361,167,-67,-6570,5193,-4945,-74.0500030517578,-30.7700004577637,-67.22000122070311,17132,1,6084159,2020-03-27 09:40:51,239
224501,5550,-777,7835,-5626,3480,-6610,-78.9000015258789,-42.720001220703104,-86.7300033569336,17132,1,6084200,2020-03-27 09:40:51,239
224502,513,-2145,8505,-4511,7126,-10775,-64.48000335693361,-61.790000915527294,-117.930000305176,17132,1,6084241,2020-03-27 09:40:51,239
224503,-3368,-4225,7599,-273,7176,-8357,-11.3400001525879,-60.540000915527294,176.779998779297,17132,2,6084282,2020-03-27 09:40:51,239
224504,-6099,-3866,8376,3991,4471,-4956,14.020000457763699,-44.549999237060604,150.13000488281298,17132,2,6084323,2020-03-27 09:40:51,239
224505,-7283,-5386,12504,4009,6027,-3446,25.399999618530302,-28.75,143.419998168945,17132,-1,6084364,2020-03-27 09:40:51,239
224506,5917,-4637,10601,6506,5806,1610,35.8800010681152,-18.2800006866455,152.350006103516,17132,-1,6084405,2020-03-27 09:40:51,239
224507,4524,-1267,8030,4570,5871,-110,44.869998931884794,-7.599999904632571,164.199996948242,17132,-1,6084446,2020-03-27 09:40:51,239
224508,2491,453,6661,3454,5122,1242,53.0200004577637,-1.4700000286102302,174.13000488281298,17132,-1,6084487,2020-03-27 09:40:51,239
224509,999,-93,747,3303,5387,1224,61.549999237060604,3.58999991416931,-172.679992675781,17132,-1,6084528,2020-03-27 09:40:51,239
224510,6,881,1150,1068,4128,1316,67.3600006103516,4.76000022888184,-161.460006713867,17132,-1,6084568,2020-03-27 09:40:51,239
224511,-1309,804,1157,-207,4127,2048,68.879997253418,5.15000009536743,-150.539993286133,17132,-1,6084609,2020-03-27 09:40:51,239
224512,187,992,955,-419,3318,2957,68.6699981689453,2.3499999046325697,-139.770004272461,17132,-2,6084651,2020-03-27 09:40:51,239
