id,accelerationx,accelerationy,accelerationz,angularvelocityx,angularvelocityy,angularvelocityz,pitch,roll,yaw,mdlcircle_id,hallsensor,timestamp,starttime,mdlsport_id
155937,-3262,-1377,1211,-2737,-2042,-6794,60.299999237060604,-7.42999982833862,36.0099983215332,12459,1,5098496,2020-03-27 06:45:18,165
155938,-9492,4931,5269,-2341,-3470,-5504,53.130001068115206,2.04999995231628,20.6000003814697,12459,1,5098537,2020-03-27 06:45:18,165
155939,-10581,1462,5902,-4391,-2720,-4630,43.209999084472706,9.46000003814697,6.949999809265139,12459,1,5098578,2020-03-27 06:45:18,165
155940,-9665,-6319,10933,-10567,-3390,-7039,21.8199996948242,10.3400001525879,-8.22999954223633,12459,2,5098619,2020-03-27 06:45:18,165
155941,-3357,-3181,9057,-8190,-8,-432,-3.27999997138977,10.489999771118198,-18.0,12459,2,5098660,2020-03-27 06:45:18,165
155942,-6603,-2141,11697,-11804,-3682,-576,-29.0200004577637,5.079999923706059,-19.75,12459,2,5098701,2020-03-27 06:45:18,165
155943,-7232,2123,8995,-4702,-811,7140,-45.1800003051758,7.800000190734861,-10.710000038147,12459,2,5098741,2020-03-27 06:45:18,165
155944,5418,-2905,6411,-2620,-6496,10012,-48.0499992370605,18.0499992370605,14.8199996948242,12459,2,5098782,2020-03-27 06:45:18,165
155945,2518,-4411,6816,2438,-2417,8150,-39.430000305175795,24.2900009155273,38.459999084472706,12459,-1,5098823,2020-03-27 06:45:18,165
155946,5577,-3479,4233,4715,-1356,5047,-23.059999465942397,29.5400009155273,54.970001220703104,12459,-1,5098864,2020-03-27 06:45:18,165
155947,-746,-4995,-10009,5182,-1235,2109,-4.69000005722046,27.5499992370605,64.620002746582,12459,-2,5098905,2020-03-27 06:45:18,165
