id,accelerationx,accelerationy,accelerationz,angularvelocityx,angularvelocityy,angularvelocityz,pitch,roll,yaw,mdlcircle_id,hallsensor,timestamp,starttime,mdlsport_id
80971,-19,628,3598,-15,1,18,5.67999982833862,-3.4800000190734903,24.8600006103516,6852,-2,21540,2020-06-16 10:36:11,58
80972,136,659,3579,-9,-25,51,5.67999982833862,-3.49000000953674,24.9200000762939,6852,-2,21564,2020-06-16 10:36:11,58
80973,147,654,3582,-18,-36,-29,5.67999982833862,-3.54999995231628,24.9200000762939,6852,-2,21590,2020-06-16 10:36:11,58
80974,-4,609,3617,-35,49,-61,5.65999984741211,-3.49000000953674,24.850000381469698,6852,-2,21615,2020-06-16 10:36:11,58
80975,-42,586,3586,-14,-12,5,5.650000095367429,-3.4300000667572004,24.809999465942397,6852,-2,21641,2020-06-16 10:36:11,58
80976,61,620,3610,-9,-18,44,5.639999866485599,-3.4600000381469704,24.8700008392334,6852,-2,21666,2020-06-16 10:36:11,58
80977,171,663,3602,-10,-8,37,5.639999866485599,-3.4600000381469704,24.9300003051758,6852,-2,21692,2020-06-16 10:36:11,58
80978,192,682,3631,-1,-17,-10,5.67000007629395,-3.49000000953674,24.940000534057603,6852,-2,21718,2020-06-16 10:36:11,58
80979,88,658,3658,-7,25,-60,5.67999982833862,-3.4600000381469704,24.8799991607666,6852,-2,21743,2020-06-16 10:36:11,58
80980,-94,579,3574,-23,2,-11,5.67999982833862,-3.42000007629395,24.8199996948242,6852,-2,21769,2020-06-16 10:36:11,58
80981,128,679,3667,-12,0,48,5.65999984741211,-3.4000000953674303,24.8700008392334,6852,-2,21794,2020-06-16 10:36:11,58
80982,195,718,3636,5,14,2,5.69000005722046,-3.39000010490417,24.9099998474121,6852,-2,21820,2020-06-16 10:36:11,58
80983,131,667,3536,-6,52,-58,5.71000003814697,-3.3199999332427996,24.8600006103516,6852,-2,21846,2020-06-16 10:36:11,58
80984,-13,596,3527,-35,12,-36,5.699999809265139,-3.25,24.7900009155273,6852,-2,21871,2020-06-16 10:36:11,58
80985,-16,622,3718,-18,-35,8,5.67000007629395,-3.2699999809265097,24.7700004577637,6852,-2,21897,2020-06-16 10:36:11,58
80986,98,668,3684,-1,-5,22,5.67999982833862,-3.27999997138977,24.809999465942397,6852,-2,21922,2020-06-16 10:36:11,58
80987,75,649,3600,5,0,12,5.71000003814697,-3.27999997138977,24.8299999237061,6852,-2,21948,2020-06-16 10:36:11,58
80988,136,668,3579,-7,-8,2,5.71999979019165,-3.2699999809265097,24.8400001525879,6852,-2,21974,2020-06-16 10:36:11,58
80989,45,608,3605,-8,-14,-13,5.73000001907349,-3.2899999618530296,24.8199996948242,6852,-2,21999,2020-06-16 10:36:11,58
80990,15,592,3606,-4,-1,8,5.7399997711181605,-3.25,24.8199996948242,6852,-2,22025,2020-06-16 10:36:11,58
80991,27,640,3614,10,-19,49,5.7600002288818395,-3.25,24.8700008392334,6852,-2,22050,2020-06-16 10:36:11,58
80992,101,697,3648,0,23,33,5.78000020980835,-3.24000000953674,24.940000534057603,6852,-2,22076,2020-06-16 10:36:11,58
80993,30,665,3531,1,5,31,5.80999994277954,-3.20000004768372,24.9799995422363,6852,-2,22102,2020-06-16 10:36:11,58
80994,170,725,3623,10,-25,18,5.829999923706059,-3.2300000190734903,25.030000686645497,6852,-2,22127,2020-06-16 10:36:11,58
80995,16,666,3623,4,15,-28,5.869999885559079,-3.22000002861023,25.0,6852,-2,22153,2020-06-16 10:36:11,58
80996,74,624,3563,-3,49,-6,5.900000095367429,-3.16000008583069,24.989999771118196,6852,-2,22178,2020-06-16 10:36:11,58
80997,91,693,3709,4,24,2,5.900000095367429,-3.07999992370605,24.989999771118196,6852,-2,22204,2020-06-16 10:36:11,58
80998,-8,682,3665,4,33,-8,5.92999982833862,-3.0,24.9799995422363,6852,-2,22230,2020-06-16 10:36:11,58
80999,6,651,3636,11,47,19,5.96999979019165,-2.9300000667572004,25.0,6852,-2,22255,2020-06-16 10:36:11,58
81000,34,655,3596,28,44,6,6.01999998092651,-2.8499999046325697,25.0400009155273,6852,-2,22281,2020-06-16 10:36:11,58
81001,13,664,3570,24,29,30,6.079999923706059,-2.77999997138977,25.0699996948242,6852,-2,22306,2020-06-16 10:36:11,58
81002,28,677,3574,20,4,26,6.139999866485599,-2.7699999809265097,25.1100006103516,6852,-2,22332,2020-06-16 10:36:11,58
81003,63,616,3413,21,-6,22,6.199999809265139,-2.75999999046326,25.1599998474121,6852,-2,22358,2020-06-16 10:36:11,58
81004,21,582,3419,-17,-4,23,6.21000003814697,-2.75999999046326,25.190000534057603,6852,-2,22383,2020-06-16 10:36:11,58
81005,123,596,3375,-30,10,13,6.17999982833862,-2.74000000953674,25.219999313354503,6852,-2,22409,2020-06-16 10:36:11,58
81006,110,520,3288,-51,-9,-16,6.130000114440921,-2.74000000953674,25.2099990844727,6852,-2,22434,2020-06-16 10:36:11,58
81007,182,351,2991,-95,5,-58,6.03000020980835,-2.74000000953674,25.1599998474121,6852,-2,22460,2020-06-16 10:36:11,58
81008,291,90,2697,-182,30,-70,5.80999994277954,-2.7100000381469704,25.0699996948242,6852,-2,22485,2020-06-16 10:36:11,58
81009,800,-360,1969,-325,200,-165,5.42000007629395,-2.5499999523162797,24.9099998474121,6852,-2,22511,2020-06-16 10:36:11,58
81010,1603,-1109,963,-616,399,-330,4.6100001335144,-2.04999995231628,24.559999465942397,6852,-2,22537,2020-06-16 10:36:11,58
81011,2552,-1449,183,-969,360,-595,3.33999991416931,-1.5900000333786002,23.899999618530302,6852,-2,22564,2020-06-16 10:36:11,58
